Request Id,Request Definition,CampaignId,Hashtag,SeedTweets,ExpandedTweets,HashtagTweets,UserCount,Organized,Other
201703010909096244beaf762-6789-4a9e-b199-ab591e56ce6e,Oscars_BC,Oscars,oscars,14992,1163633,91952,2727,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170301090912380692c31b6-71dc-4036-a3e9-f823adefa92e,Oscars_BC,Oscars,oscars,15078,1125085,90151,2708,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

2017030109093252418028a58-0964-4898-b2ff-7c23513974ae,Oscars2017,Oscars,oscars2017,16076,980707,15422,2353,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

201703010910413385f9048fc-177f-452d-b076-82609ce81286,Oscars2017_BC,Oscars,oscars2017,17053,981708,14623,2376,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

201703010911504902d4b4db5-9194-4de1-83e4-afff50631158,Oscars2017_BC,Oscars,oscars2017,17407,1007609,13685,2445,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

201703010912304295eb9619e-825e-4c4c-94fa-4fe36b53b0c9,Oscars2017_BC,Oscars,oscars2017,13845,1011333,11595,2511,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170301091317304351fba5c-1347-408f-93eb-865edc6c1b7a,Oscars2017_BC,Oscars,oscars2017,5062,915510,7183,2623,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170307134236824878e7246-2c93-494a-857e-a9bbfa509fb6,steveharvey,Oscars2,steveharvey,525,105328,405,357,ORGANIC_T,

20170307134257653fd513a46-1f10-4eff-8d6d-e41af3f6d173,redcarpet,Oscars2,redcarpet,743,137190,965,590,ORGANIC_T,

201703071343288085e538ff2-ef15-40e7-910e-3107e6c1a176,envelopegate,Oscars2,envelopegate,2888,845805,3191,2143,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170307134522805ed2582a9-a9cf-4192-9313-3ab1dfc6ad32,warrenbeatty,OscarsFail2,warrenbeatty,1010,173712,868,670,ORGANIC_T,

20170307134555538fe87b8c7-8a84-4cd2-907b-fafffdbdae33,oscarsfail,OscarsFail2,oscarsfail,2085,481965,1853,1465,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

2017030713482414216b3a38-c9c5-40d0-a8e0-a1922ad14736,livetheoscars,Oscars,livetheoscars,8309,864495,3264,2095,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

201703081247007263dcad9a3-aace-42c2-8631-6641ecafd97b,LadyGagaNewVideo,LadyGagaNewVideo,ladygaganewvideo,2041,310908,7129,1486,ORGANIZED,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

