hashtag,UserFriendFollowerRatiosMV_friendFollowerRatio_average,UserFriendFollowerRatiosMV_friendFollowerRatio_population_variance,UserFriendFollowerRatiosMV_friendFollowerRatio_population_standard_deviation,UserFriendFollowerRatiosMV_friendFollowerRatio_minValue,UserFriendFollowerRatiosMV_friendFollowerRatio_maxValue
NewOrleans,0.6371535635660728,0.01232059429043467,0.11099817246439092,0.5200587084148728,0.9120477928974444
local,0.5307847241093995,0.012015172542444169,0.1096137424889971,0.0,1.0
selfie,0.5172154482428731,0.02234339587366299,0.14947707474279456,0.11224489795918367,1.0
БеларусьСестраРоссии,0.44867700037646974,0.039657184705748014,0.19914111756678482,0.09984152139461172,0.9796803802297949
ГолосДети,0.3555275488735905,0.03763405216548352,0.19399497974299107,0.09479166666666666,0.9796803802297949
Красавицы_России,0.6204304721055177,0.06817876969620479,0.2611106464627683,0.10354857475276323,0.9843918191603875
Пластмассовыйвек,0.3952647839181552,0.028703911253345895,0.1694222867669596,0.09680284191829484,0.9556046112337503
СамоеОпасноеОружие,0.8747266581195495,0.022747194404224777,0.1508217305437939,0.16198501872659177,0.9989403973509934
СемьяАхмед,0.3572682452802616,0.036194849612895846,0.1902494405061309,0.1076923076923077,0.9989403973509934
ФолловлюВсехВзаимно,0.504554816025991,4.537710542512152E-4,0.02130190259697981,0.4564831261101243,0.5842696629213483
ХватитТорговаться,0.5838722776339488,0.04823794346513902,0.21963138087518147,0.09820944112859468,0.9317794201250711
короче,0.4350826538481985,0.016790138208411604,0.12957676569667728,0.22490305902628177,0.7198879551820728
Clinton,0.5538930150079775,0.040823805238977155,0.2020490169215806,0.0965583173996176,1.0
OscarsSoWhite,0.4878861087336119,0.01328564395649769,0.11526336779956453,0.1292517006802721,0.7104421322019059
SGP,0.5146321781906581,0.006275541812110958,0.07921831740267499,0.366710875331565,0.9120477928974444
friedrice,0.9120477928974444,0.0,0.0,0.9120477928974444,0.9120477928974444
yeet,0.37449289329859164,0.024903891181784474,0.15780966758023562,0.041666666666666664,0.5928439235040098
